date,retail_sales_millions,mom_pct_change,yoy_pct_change,rolling_12m_avg,rolling_12m_std,year,month,is_recession
2016-11-01,453892,0.009915235751245532,3.0862837636809193,447258.25,5124.308345798727,2016,11,False
2016-12-01,459305,1.1925744450221654,3.8801399528213265,448687.9166666667,5903.283253778235,2016,12,False
2017-01-01,464412,1.111897323129507,5.676434581969936,450766.75,6699.258834521591,2017,1,False
2017-02-01,464284,-0.027561733977587988,4.776842233541023,452530.6666666667,7264.742419682962,2017,2,False
2017-03-01,463674,-0.13138510049883756,4.937807792584015,454348.8333333333,7078.1219624453715,2017,3,False
2017-04-01,465276,0.3455013651832983,4.7319776524240575,456100.6666666667,6952.881591422641,2017,4,False
2017-05-01,462754,-0.5420438621377421,3.8752833958113575,457539.3333333333,6314.5693199989755,2017,5,False
2017-06-01,465130,0.5134477497763301,3.3078134404769033,458780.4166666667,6211.5898778581395,2017,6,False
2017-07-01,465089,-0.00881473996516835,3.401594970085964,460055.4166666667,5751.42264549167,2017,7,False
2017-08-01,466020,0.20017674036583166,3.5724286914429637,461394.9166666667,5006.471384099064,2017,8,False
2017-09-01,475724,2.0823140637740822,5.003354993643172,463283.9166666667,5789.312715668792,2017,9,False
2017-10-01,476107,0.08050886648560684,4.904736618287653,465138.9166666667,6051.005392929382,2017,10,False
2017-11-01,480949,1.0169982797984423,5.961109691292199,467393.6666666667,6503.28699175121,2017,11,False
2017-12-01,483586,0.5482909830356153,5.286465420581088,469417.0833333333,7464.185451010857,2017,12,False
2018-01-01,481414,-0.449144516177058,3.660973445991922,470833.9166666667,8020.66002111771,2018,1,False
2018-02-01,484031,0.5436069578367064,4.253215704181068,472479.5,8562.11064145274,2018,2,False
2018-03-01,484110,0.016321268679075907,4.407406928143476,474182.5,8682.98397076024,2018,3,False
2018-04-01,484154,0.009088843444682304,4.057376696842296,475755.6666666667,8632.618620241541,2018,4,False
2018-05-01,491960,1.6122969137918997,6.311344688538623,478189.5,8750.052950495907,2018,5,False
2018-06-01,490228,-0.3520611431823695,5.3959108206308,480281.0,8334.376608641198,2018,6,False
2018-07-01,493142,0.5944172915459678,6.031748762064892,482618.75,7586.5174921839325,2018,7,False
2018-08-01,493445,0.06144274874173572,5.884940560490959,484904.1666666667,6120.898327325569,2018,8,False
2018-09-01,491507,-0.3927489385848526,3.31767999932735,486219.4166666667,5646.259557667256,2018,9,False
2018-10-01,496416,0.9987650226751521,4.265637766300423,487911.8333333333,5376.893050723044,2018,10,False
2018-11-01,498854,0.4911203506736239,3.722847952693531,489403.9166666667,5741.040283607659,2018,11,False
2018-12-01,489113,-1.9526755323200806,1.1429197702166771,489864.5,5445.981112054539,2018,12,False
2019-01-01,490440,0.2713074483810418,1.874893542771927,490616.6666666667,4751.81311489793,2019,1,False
2019-02-01,491751,0.26731098605334846,1.594939167119458,491260.0,4278.128095338958,2019,2,False
2019-03-01,499292,1.533499677682415,3.1360641176592097,492525.1666666667,4215.867684529797,2019,3,False
2019-04-01,499343,0.010214463680568997,3.1372249325627877,493790.9166666667,3725.7078268076925,2019,4,False
2019-05-01,504741,1.0810204608856067,2.5979754451581405,494856.0,4820.685786760642,2019,5,False
2019-06-01,505251,0.10104192050972571,3.0644924402522866,496107.9166666667,5422.673132473177,2019,6,False
2019-07-01,509091,0.7600182879400563,3.2341597349242246,497437.0,6480.919295070949,2019,7,False
2019-08-01,512561,0.6816070211415948,3.8739879824499113,499030.0,7653.715603913395,2019,8,False
2019-09-01,509282,-0.6397287347262082,3.6164286571707116,500511.25,7784.318410353599,2019,9,False
2019-10-01,510648,0.26822074999706125,2.866950299748594,501697.25,8177.88158972657,2019,10,False
2019-11-01,514215,0.6985242280396653,3.0792576585534137,502977.3333333333,8865.673612658857,2019,11,False
2019-12-01,515866,0.32107192516748206,5.469697186539713,505206.75,8414.577503851157,2019,12,False
2020-01-01,515119,-0.144805046271701,5.032012070793579,507263.3333333333,7436.382519063557,2020,1,False
2020-02-01,515330,0.04096140891716171,4.794906365213292,509228.25,5926.868637066879,2020,2,True
2020-03-01,468324,-9.12153377447461,-6.202382573724396,506647.5833333333,13076.404874701091,2020,3,True
